"lnp_id","original_score","original_rank","median_rank","min_rank","max_rank","top1_frequency","top10_frequency","top20_frequency","median_score","min_score","max_score"
"LNP_0256",0.590900451580262,179,135,37,278,0,0,0,0.63591234397064,0.448122761298089,0.825219549776741
"LNP_0448",0.589355411766376,180,173,97,230,0,0,0,0.606383179187653,0.52960176042471,0.721988947019118
"LNP_0214",0.589322048981661,181,206,107,369,0,0,0,0.581593947034594,0.462140234984392,0.666410259052084
"LNP_0292",0.588934555405256,182,162,80,256,0,0,0,0.618071489573383,0.498552817999863,0.780579816061821
"LNP_0487",0.586764332044398,183,183,94,298,0,0,0,0.594262627847,0.453560974978856,0.720211363258551
"LNP_0097",0.585635628327912,184,147.5,56,268,0,0,0,0.62630485794708,0.454985105398362,0.809817629398543
"LNP_0313",0.584640848015747,185,170,120,228,0,0,0,0.607770745499404,0.507101071981898,0.711799615885744
"LNP_0023",0.584326450820185,186,184,128,217,0,0,0,0.596226158521259,0.529869922074338,0.707701350319665
"LNP_0170",0.584168040601334,187,187,20,317,0,0,0.000257997936016512,0.589819575527671,0.42427708973863,0.748977808308458
"LNP_0405",0.582557538670012,188,206,144,344,0,0,0,0.582207690046355,0.497643910186616,0.619023699149175
"LNP_0310",0.579675804148297,189,205,159,333,0,0,0,0.582033780296201,0.513600571034862,0.615986598271122
"LNP_0019",0.578491639319696,190,194,107,368,0,0,0,0.582428567033651,0.358374378018704,0.712995515881932
"LNP_0175",0.577671815608368,191,182,116,266,0,0,0,0.60246431285597,0.504898167502493,0.726708755252848
"LNP_0129",0.576861793248067,192,182,125,241,0,0,0,0.598519709795478,0.506676709630208,0.710600677360625
"LNP_0452",0.575598137549978,193,199,48,325,0,0,0,0.579947875332406,0.413432518896859,0.736942975563655
"LNP_0381",0.575535535593083,194,201,136,322,0,0,0,0.577942869859666,0.415274605429117,0.705732461607006
"LNP_0105",0.574421490638492,195,202,72,316,0,0,0,0.577776855120336,0.426167868673773,0.719483326923924
"LNP_0233",0.574053519324762,196,207,162,327,0,0,0,0.578971291707809,0.517684415027935,0.636646999882846
"LNP_0059",0.573849863726178,197,146,20,315,0,0,0.00154798761609907,0.628613744214448,0.383002412526617,0.885450181085981
